time-step,new-children-bites,new-adults-bites,new-seniors-bites,new-tourists-children-bites,new-tourists-adults-bites,new-tourists-seniors-bites
224,0,2,1,3,10,3
225,0,3,0,9,12,1
226,0,4,1,6,6,1
227,1,3,1,3,13,3
228,2,1,3,4,14,6
229,0,3,1,2,9,1
230,1,3,0,4,8,7
231,1,2,2,4,9,3
232,0,1,1,6,13,7
233,3,2,2,3,6,4
234,2,3,0,4,6,2
235,0,1,1,1,8,3
236,3,1,2,8,18,4
237,1,3,0,5,8,3
238,1,4,0,4,8,3
239,2,3,2,5,11,3
240,1,1,0,6,7,3
241,0,0,0,2,9,2
242,0,2,0,3,12,1
243,0,1,3,1,14,6
244,3,4,0,2,16,1
245,2,3,2,7,16,3
246,2,3,0,6,7,2
247,1,1,0,1,7,4
248,1,4,0,1,6,3
249,3,1,1,6,17,7
250,0,3,1,2,11,2
251,0,3,1,0,7,4
252,0,8,1,1,7,1
253,2,0,1,4,18,3
254,1,4,5,6,15,2
255,1,2,0,2,9,2
256,0,4,1,4,9,2
257,3,0,2,1,5,2
258,0,2,1,1,8,2
259,3,2,2,1,10,4
260,0,1,0,3,11,4
261,0,1,1,5,9,2
262,0,1,2,3,10,2
263,1,2,0,2,8,3
264,0,3,0,4,5,1
265,0,7,1,0,2,3
266,0,2,0,6,8,5
267,3,2,2,3,6,3
268,1,1,0,5,9,1
269,2,2,0,2,13,10
270,0,0,1,7,14,8
271,2,4,2,2,6,5
272,2,0,0,0,7,3
273,2,6,1,4,19,3
274,2,1,1,5,19,1
275,1,0,0,2,8,1
276,1,4,0,1,6,5
277,2,2,2,1,12,5
278,1,3,0,5,7,4
279,1,7,1,2,8,3
280,0,2,0,1,6,2
281,2,1,3,0,6,0
282,2,4,2,5,12,8
283,2,3,0,2,17,2
284,2,0,1,1,6,4
285,0,2,1,5,9,1
286,1,4,2,5,10,2
287,2,1,1,3,12,3
288,0,2,1,1,7,1
289,1,4,1,1,13,3
290,1,3,3,7,15,9
291,2,2,0,1,7,2
292,2,4,0,5,15,7
293,1,2,3,4,6,4
294,4,2,0,11,16,6
295,2,2,3,6,13,4
296,0,2,0,4,9,2
297,2,3,1,2,5,3
298,1,2,0,1,11,1
299,0,2,1,3,11,2
300,1,3,1,2,4,2
301,3,1,1,3,9,2
302,1,3,3,3,8,7
303,2,0,1,3,6,2
304,0,2,1,1,5,2
305,1,2,1,2,4,4
306,0,3,0,3,6,1
307,0,0,0,0,0,0
308,0,0,0,0,0,0
309,0,0,0,0,0,0
310,0,0,0,0,0,0
311,0,0,0,0,0,0
312,0,0,0,0,0,0
313,0,0,0,0,0,0
314,0,2,0,1,9,2
315,0,4,1,7,25,6
316,3,0,0,2,7,3
317,0,0,0,0,0,0
318,0,3,0,2,8,3
319,1,1,2,3,11,2
320,1,2,1,2,8,3
321,2,6,4,5,13,3
322,0,0,0,0,0,0
323,0,0,0,0,0,0
324,0,0,0,0,0,0
325,0,0,0,0,0,0
326,0,0,0,0,0,0
327,0,0,0,0,0,0
328,3,5,4,6,15,2
