0.00,4.10
7.00,5.40
61.00,6.90
151.00,5.70
43.00,6.80
15.00,2.60
1.00,6.10
109.00,5.40
0.00,5.60
7.00,6.90
47.00,4.80
27.00,5.80
127.00,5.00
36.00,3.50
136.00,2.40
13.00,2.70
5.00,-1.00
0.00,-3.00
0.00,-2.50
0.00,1.20
0.00,-1.20
1.00,0.90
51.00,6.60
18.00,7.70
6.00,10.70
0.00,9.20
55.00,10.90
113.00,6.70
0.00,8.50
122.00,7.40
92.00,6.80
53.00,11.50
0.00,8.90
4.00,5.00
52.00,5.00
32.00,8.70
9.00,9.40
30.00,8.50
68.00,8.50
69.00,5.30
129.00,4.80
34.00,3.80
2.00,2.70
0.00,1.80
39.00,1.40
122.00,2.30
2.00,-0.30
0.00,-1.30
0.00,1.30
25.00,3.90
21.00,8.20
152.00,10.40
29.00,6.80
13.00,4.30
55.00,2.30
10.00,1.80
13.00,2.10
1.00,2.20
0.00,2.20
0.00,1.30
0.00,2.00
83.00,5.30
62.00,3.90
21.00,1.00
114.00,5.00
12.00,3.00
42.00,2.50
3.00,3.60
0.00,4.40
0.00,4.10
0.00,3.20
0.00,3.10
0.00,3.90
0.00,4.10
0.00,4.60
0.00,4.40
0.00,5.70
0.00,5.20
0.00,6.20
2.00,6.80
22.00,7.20
0.00,7.60
2.00,7.60
5.00,7.90
32.00,6.50
19.00,9.50
65.00,9.10
23.00,9.70
42.00,7.80
51.00,8.10
11.00,7.60
0.00,7.20
0.00,10.10
4.00,15.20
146.00,12.40
25.00,10.60
2.00,8.90
55.00,7.30
27.00,6.70
26.00,9.20
19.00,10.70
0.00,13.20
5.00,11.60
26.00,9.00
0.00,10.60
14.00,10.30
91.00,8.60
0.00,6.20
48.00,8.10
0.00,9.70
0.00,8.60
0.00,10.10
0.00,8.70
15.00,6.20
19.00,4.60
29.00,4.90
93.00,4.80
87.00,6.00
28.00,5.80
27.00,7.40
77.00,7.70
0.00,7.90
0.00,11.50
40.00,9.70
0.00,9.50
0.00,12.80
0.00,16.40
0.00,19.50
0.00,20.10
0.00,20.20
0.00,18.90
0.00,20.40
0.00,20.20
0.00,15.40
0.00,8.90
0.00,8.60
11.00,9.30
0.00,12.30
0.00,13.60
9.00,13.40
4.00,13.70
0.00,17.90
6.00,15.50
287.00,12.00
54.00,11.40
1.00,11.80
